,Source,Type Level 4,altLabels,Definition,Dimension,Type Level 1,Type Level 2,Type Level 3,unique_id,name,name+definition
19,http://data.europa.eu/esco/skill/020918ef-4b55-47c1-8430-ab7b8f6a7377,migrate existing data,migrate existing data,"Apply migration and conversion methods for existing data, in order to transfer or convert data between formats, storage or computer systems.",skills,working with computers,accessing and analysing digital data,"managing, gathering and storing digital data",1010,migrate existing data,"migrate existing data : apply migration and conversion methods for existing data, in order to transfer or convert data between formats, storage or computer systems."
20,http://data.europa.eu/esco/skill/022dc430-872a-473a-9cf4-fed4895e58ad,define database physical structure,"define database physical structure
define database physical storage structure","Specify the physical configuration of database files on a given media. This consists of in-detail specifications of indexing options, data types and data elements placed in the data dictionary.",skills,working with computers,accessing and analysing digital data,"managing, gathering and storing digital data",1011,define database physical structure,"define database physical structure : specify the physical configuration of database files on a given media. this consists of in-detail specifications of indexing options, data types and data elements placed in the data dictionary."
21,http://data.europa.eu/esco/skill/024037ca-96a9-4cb8-ba86-2cd5a209c90a,Maltego,Maltego,"The platform Maltego is a forensic application that uses data mining to deliver on overview of organisations' environment, testing security weaknesses of the system for potentially unauthorised access and demonstrates the complexity of infrastructure failures.",knowledge,information and communication technologies (icts),information and communication technologies (icts),software and applications development and analysis,1012,Maltego,"Maltego : the platform maltego is a forensic application that uses data mining to deliver on overview of organisations' environment, testing security weaknesses of the system for potentially unauthorised access and demonstrates the complexity of infrastructure failures."
23,http://data.europa.eu/esco/skill/0240c5a8-d8ec-4cd5-948f-4649334c01b8,search historical sources in archives,"search archives for historical sources
explore historical sources in archives
find historical sources in archives
search historical sources in archives
query historical sources in archives
historical source search in archives",Search archives in order to find the sources needed for historical research.,skills,information skills,processing information,gathering information from physical or electronic sources,1013,search historical sources in archives,search historical sources in archives : search archives in order to find the sources needed for historical research.
24,http://data.europa.eu/esco/skill/02820870-3b92-480b-8475-8a521563ea3c,collect property financial information,"collect property financial information
audit properties
collect information on property finance
collect financial information on properties","Collect information concerning the previous transactions involving the property, such as the prices at which the property had been previously sold and the costs that went into renovations and repairs, in order to obtain a clear image of the property's value.",skills,information skills,processing information,gathering information from physical or electronic sources,1014,collect property financial information,"collect property financial information : collect information concerning the previous transactions involving the property, such as the prices at which the property had been previously sold and the costs that went into renovations and repairs, in order to obtain a clear image of the property's value."
27,http://data.europa.eu/esco/skill/02c462b7-b93b-44a7-ba3a-9d3b7a163f51,provide context to news stories,"contextualize news stories
providing context to news stories
provide context to news stories
offer context to news stories
provide context to news story
situate news stories",Provide substantial context to national or international news stories to explain things in more detail.,skills,"communication, collaboration and creativity",presenting information,presenting general information,1015,provide context to news stories,provide context to news stories : provide substantial context to national or international news stories to explain things in more detail.
30,http://data.europa.eu/esco/skill/02c71cde-f513-43da-8952-0974763c7568,circuit diagrams,"electrical circuit diagrams
electronic schematics
circuit diagrams
elementary diagrams
circuit blueprints
diagrams of circuits
electronics schematics
circuit schematics
electrical diagrams","Read and comprehend circuit diagrams showing the connections between the devices, such as power and signal connections.",knowledge,information and communication technologies (icts),information and communication technologies (icts),database and network design and administration,1016,circuit diagrams,"circuit diagrams : read and comprehend circuit diagrams showing the connections between the devices, such as power and signal connections."
31,http://data.europa.eu/esco/skill/02e1ca57-0715-438b-886d-f0f938ac3efc,sand blasting machine parts,"sand blasting machine pieces
sand blasting machine components
sand blasting machine units
sand blasting machine parts
blasting abrasive machine components
blasting abrasive machine units
sand blasting machine elements
blasting abrasive machine elements
blasting abrasive machine pieces","The various parts of a type of sand blasting machinery, their qualities and applications, such as a treadle, blast nozzle, dust collecter, filter, abrasive materials and others.",knowledge,information and communication technologies (icts),information and communication technologies (icts),database and network design and administration,1017,sand blasting machine parts,"sand blasting machine parts : the various parts of a type of sand blasting machinery, their qualities and applications, such as a treadle, blast nozzle, dust collecter, filter, abrasive materials and others."
32,http://data.europa.eu/esco/skill/02eeea19-76db-4d19-bb8b-a649c0fbe796,assess visual impact of displays,"assessing the visual impact of displays
test visual impact of displays
assess the visual impact of displays
assess the visual impact of a display
check visual impact of displays
judge visual impact of displays
assess visual impact of displays
appraise visual impact of displays",Analyse feedback from customers and co-workers on the visual impact of displays and showcases. Implement changes where needed.,skills,information skills,analysing and evaluating information and data,analysing and evaluating information and data,1018,assess visual impact of displays,assess visual impact of displays : analyse feedback from customers and co-workers on the visual impact of displays and showcases. implement changes where needed.
33,http://data.europa.eu/esco/skill/030de41b-bb8b-4e4b-859c-9afd4c17605b,check information on prescriptions,"check prescription's information
verify information on prescription
verify information on prescriptions
ensure accuracy of prescriptions
check information on prescriptions
check prescription information",Verify the information on prescriptions from patients or from the doctor`s office ensuring that it is complete and accurate.,skills,information skills,analysing and evaluating information and data,analysing scientific and medical data,1019,check information on prescriptions,check information on prescriptions : verify the information on prescriptions from patients or from the doctor`s office ensuring that it is complete and accurate.
35,http://data.europa.eu/esco/skill/034c29fa-c3ba-45ea-b8f3-bf8e3705e386,Erlang,Erlang,"The techniques and principles of software development, such as analysis, algorithms, coding, testing and compiling of programming paradigms in Erlang.",knowledge,information and communication technologies (icts),information and communication technologies (icts),software and applications development and analysis,1020,Erlang,"Erlang : the techniques and principles of software development, such as analysis, algorithms, coding, testing and compiling of programming paradigms in erlang."
37,http://data.europa.eu/esco/skill/0359f76c-3ef3-4e52-abcf-1b2b32ed20a5,taste wines,"sip wines
taste a wine
drink wines
tasting wines
evaluate wines
sample wines
taste wines","Taste wines to have a sensory examination and evaluation of wine, and to check wine appearance and evaluate characteristics such as the in glass aroma, the in mouth sensations and the aftertaste.",skills,information skills,analysing and evaluating information and data,analysing and evaluating information and data,1021,taste wines,"taste wines : taste wines to have a sensory examination and evaluation of wine, and to check wine appearance and evaluate characteristics such as the in glass aroma, the in mouth sensations and the aftertaste."
39,http://data.europa.eu/esco/skill/03a74eee-2dc6-4147-8667-5cdeb65f122d,manage ICT data classification,manage ICT data classification,Oversee the classification system an organisation uses to organise its data. Assign an owner to each data concept or bulk of concepts and determine the value of each item of data.,skills,working with computers,accessing and analysing digital data,"managing, gathering and storing digital data",1022,manage ICT data classification,manage ICT data classification : oversee the classification system an organisation uses to organise its data. assign an owner to each data concept or bulk of concepts and determine the value of each item of data.
41,http://data.europa.eu/esco/skill/03d93b02-a461-4815-a4c0-b46451afc1c2,manage claim files,"M41
manage claim files
oversee claim files
manage claim file
handle claim files
perform management of claim files","Follow up on the progress of a claim file, keep all parties informed of the status of the file, ensure the customer receives the damages owed, treat any problems or complaints from customers, close the file and give information to an authorised person or department when there is suspicion of fraud.",skills,information skills,managing information,managing information,1023,manage claim files,"manage claim files : follow up on the progress of a claim file, keep all parties informed of the status of the file, ensure the customer receives the damages owed, treat any problems or complaints from customers, close the file and give information to an authorised person or department when there is suspicion of fraud."
42,http://data.europa.eu/esco/skill/03ff0d53-573a-47a0-a0ad-1995815a4339,information structure,information structure,"The type of infrastructure which defines the format of data: semi-structured, unstructured and structured.",knowledge,information and communication technologies (icts),information and communication technologies (icts),database and network design and administration,1024,information structure,"information structure : the type of infrastructure which defines the format of data: semi-structured, unstructured and structured."
43,http://data.europa.eu/esco/skill/043c477b-71f6-43e9-8927-ca854fc55252,communicate gambling rules,"communicate house rules
explain rules and regulations
communicate rules of the house
list the game rules",Inform about the applicable rules and guidelines in force in the gambling industry such as betting ceilings.,skills,"communication, collaboration and creativity",presenting information,presenting general information,1025,communicate gambling rules,communicate gambling rules : inform about the applicable rules and guidelines in force in the gambling industry such as betting ceilings.
44,http://data.europa.eu/esco/skill/04473991-161d-46db-8684-0d5ed6cb6c66,manage temporary ICT networks for live performance,,"Manage the set-up of networks for distribution of control signals for performing art and event applications. Coordinates with the different users. Defines and sets-up the equipment, cables, connections and devices. Configures, tests and monitors equipment and performance of the network. Control signals include for example DMX, RDM, MIDI, Timecode, tracking and positioning data, but also audio, video and positioning signals. ",skills,working with computers,setting up and protecting computer systems,setting up computer systems,1026,manage temporary ICT networks for live performance,"manage temporary ICT networks for live performance : manage the set-up of networks for distribution of control signals for performing art and event applications. coordinates with the different users. defines and sets-up the equipment, cables, connections and devices. configures, tests and monitors equipment and performance of the network. control signals include for example dmx, rdm, midi, timecode, tracking and positioning data, but also audio, video and positioning signals. "
45,http://data.europa.eu/esco/skill/048f3205-6b1a-43e0-9f76-8c43562c6140,check quality of enamel,"quality check the enamel process
review quality of enamel
check quality of enamel
control quality of enamel
check quality of enamel parts
audit quality of enamel
check enamel's quality
test surface coating standards","Assess enamel by using a needle. If defective, remove it and repeat the enamel process.",skills,information skills,analysing and evaluating information and data,"evaluating systems, programmes, equipment and products",1027,check quality of enamel,"check quality of enamel : assess enamel by using a needle. if defective, remove it and repeat the enamel process."
47,http://data.europa.eu/esco/skill/04e52ec7-5107-455b-a943-8004015d5b26,develop policies for nutritional programs,"elaborate policies for nutritional programs
design policies for nutritional programs
invent a strategy for nutritional programs
create policies for nutritional programs
create policies for food service
develop policies for nutritional measures
develop strategies for nutritional programs
invent policies for nutritional programs
develop policies for nutritional programs
elaborate nutriton programs",Develop policies for food service or nutritional programs to assist in health promotion and disease control.,skills,management skills,developing objectives and strategies,developing policies and legislation,1028,develop policies for nutritional programs,develop policies for nutritional programs : develop policies for food service or nutritional programs to assist in health promotion and disease control.
48,http://data.europa.eu/esco/skill/04f1b938-d4d4-4cb1-a863-982af76b9d93,SAS language,SAS language,"The techniques and principles of software development, such as analysis, algorithms, coding, testing and compiling of programming paradigms in SAS language.",knowledge,information and communication technologies (icts),information and communication technologies (icts),software and applications development and analysis,1029,SAS language,"SAS language : the techniques and principles of software development, such as analysis, algorithms, coding, testing and compiling of programming paradigms in sas language."
51,http://data.europa.eu/esco/skill/04fe962b-4017-4eb7-9139-7d69b6922bc9,use an application-specific interface,"application-specific interface operating
use an application-specific interface
application-specific interface using
operate an application-specific interface
use an interface specific to the application
using an application-specific interface
operating an interface specific to the application
operating an application-specific interface
using an interface specific to the application
operate an interface specific to the application",Understand and use interfaces particular to an application or use case.,skills,working with computers,working with computers,working with computers,1030,use an application-specific interface,use an application-specific interface : understand and use interfaces particular to an application or use case.
52,http://data.europa.eu/esco/skill/0520d8ba-3c24-4f75-a8b0-f883ddeed82d,audit contractors,"ensure contractors comply with regulatory standards through auditing
examine contractors to determine compliance with regulations
review contractors
scrutinise contractors
audit contractors
examine contractors
analyse contractors
assess contractors through auditing
conduct auditing activities on contractors
perform audits on contractors","Examine and document different industry contractors, in order to determine whether they comply with regulations and standards in relation to safety, environment and quality of design, construction and testing, etc.",skills,information skills,analysing and evaluating information and data,analysing financial and economic data,1031,audit contractors,"audit contractors : examine and document different industry contractors, in order to determine whether they comply with regulations and standards in relation to safety, environment and quality of design, construction and testing, etc."
53,http://data.europa.eu/esco/skill/054f26ab-cfdc-4077-883c-1c4c9e9b310a,define firewall rules,define firewall rules,Specify rules to govern a set of components aiming to limit access between groups of networks or a particular network and the internet.,skills,working with computers,setting up and protecting computer systems,protecting ict devices,1032,define firewall rules,define firewall rules : specify rules to govern a set of components aiming to limit access between groups of networks or a particular network and the internet.
54,http://data.europa.eu/esco/skill/061f1c12-9811-46f7-ab3e-1d28367d6c73,use CAD for soles,"use computer-aided design for soles and heels
use CAD for sole and heels designing
use computer-aided design for soles
employ CAD for sole and heels designing
use CAD for sole designing
employ CAD for soles and heels
employ computer-aided design for soles
use CAD for soles
employ CAD for sole designing
employ computer-aided design for soles and heels
use CAD for soles and heels","Digitise and scan the lasts. Work with files in various CAD systems. Produce 3D models of soles and create 2D computer aided designs. Grade and obtain the size series. Prepare technical specifications for manufacturing. Produce 2D and 3D computer aided engineering designs and technical drawings of moulds for vulcanised and injected soles. Export the files of the virtual models to 3D printers, CAM or CNC systems.",skills,working with computers,"using digital tools for collaboration, content creation and problem solving",using computer aided design and drawing tools,1033,use CAD for soles,"use CAD for soles : digitise and scan the lasts. work with files in various cad systems. produce 3d models of soles and create 2d computer aided designs. grade and obtain the size series. prepare technical specifications for manufacturing. produce 2d and 3d computer aided engineering designs and technical drawings of moulds for vulcanised and injected soles. export the files of the virtual models to 3d printers, cam or cnc systems."
56,http://data.europa.eu/esco/skill/062320e5-79d1-45e8-8b7e-5deeb53279a2,perform online data analysis,"performing an online data analysis
performing online data analysis
undertake online data analysis
perform an online data analysis
perform online data analysis
complete online data analysis
implement online data analysis","Analyse online experiences and online data for purposes of understanding user behaviour, triggers of online attention, and other factors that could optimise webpage development and exposure.",skills,working with computers,accessing and analysing digital data,"managing, gathering and storing digital data",1034,perform online data analysis,"perform online data analysis : analyse online experiences and online data for purposes of understanding user behaviour, triggers of online attention, and other factors that could optimise webpage development and exposure."
59,http://data.europa.eu/esco/skill/06358891-8424-43c5-891e-d40f226bef40,manage IT security compliances,manage IT security compliances,"Guide application and fulfilment of relevant industry standards, best practices and legal requirements for information security.",skills,working with computers,accessing and analysing digital data,"managing, gathering and storing digital data",1035,manage IT security compliances,"manage IT security compliances : guide application and fulfilment of relevant industry standards, best practices and legal requirements for information security."
60,http://data.europa.eu/esco/skill/06670261-ea6b-4b52-a915-c7d4ff837f74,identify statistical patterns,"determine statistical patterns
identifying statistical patterns
identify statistical pattern
examine statistical patterns
assess statistical patterns
identify statistical patterns
evaluate statistical patterns",Analyse statistical data in order to find patterns and trends in the data or between variables.,skills,information skills,analysing and evaluating information and data,analysing scientific and medical data,1036,identify statistical patterns,identify statistical patterns : analyse statistical data in order to find patterns and trends in the data or between variables.
62,http://data.europa.eu/esco/skill/06a4004d-ee47-44ff-ae2f-a038ba0c0256,perform a feasibility study on mini wind power,"carry out feasibility study on mini wind power
do a feasibility study on mini wind power","Perform the evaluation and assessment of the potential of mini wind power systems. Realise a standardised study to estimate the needed electrical power demand of the building, the part of mini wind power on total supply, and conduct research to support the process of decision making.",skills,information skills,analysing and evaluating information and data,analysing business operations,1037,perform a feasibility study on mini wind power,"perform a feasibility study on mini wind power : perform the evaluation and assessment of the potential of mini wind power systems. realise a standardised study to estimate the needed electrical power demand of the building, the part of mini wind power on total supply, and conduct research to support the process of decision making."
64,http://data.europa.eu/esco/skill/06e347f2-2504-4ee8-b7f7-8d9542f56207,translate keywords into full texts,"translating keywords into full texts
transcribe keywords into full texts
translate keywords into full texts
translate keywords into full text
translate full texts from keywords
convert keywords into full texts
translate keyword into full texts","Draft e-mails, letters and other written documents on the basis of keywords or key concepts outlining the content. Choose the appropriate format and language style according to the type of document.",skills,information skills,processing information,entering and transforming information,1038,translate keywords into full texts,"translate keywords into full texts : draft e-mails, letters and other written documents on the basis of keywords or key concepts outlining the content. choose the appropriate format and language style according to the type of document."
65,http://data.europa.eu/esco/skill/06f33d6a-f7a7-4a2b-baa5-8c3c53bd1a9c,keywords in digital content,keywords in digital content,The digital tools to conduct keyword research. The information retrieval systems identify the content of a document guided by keywords and metadata.,knowledge,information and communication technologies (icts),information and communication technologies (icts),computer use,1039,keywords in digital content,keywords in digital content : the digital tools to conduct keyword research. the information retrieval systems identify the content of a document guided by keywords and metadata.
66,http://data.europa.eu/esco/skill/071a4197-06b3-4226-b9a1-efd15913280a,model medical devices,"medical devices simulating
simulating medical devices
medical device simulating
modelling medical devices
medical device modelling
medical devices modelling
model medical devices
simulate medical devices",Model and simulate medical devices using technical design software.,skills,working with computers,"using digital tools for collaboration, content creation and problem solving",using computer aided design and drawing tools,1040,model medical devices,model medical devices : model and simulate medical devices using technical design software.
67,http://data.europa.eu/esco/skill/0737ad0a-75ac-4696-988b-565820577ac0,use experience map,use experience map,"Examine all the interactions and touchpoints people have with a product, brand or service. Determine key variables such as duration and frequency of every touchpoint.",skills,working with computers,accessing and analysing digital data,"managing, gathering and storing digital data",1041,use experience map,"use experience map : examine all the interactions and touchpoints people have with a product, brand or service. determine key variables such as duration and frequency of every touchpoint."
68,http://data.europa.eu/esco/skill/075c411b-c5cd-4238-be12-d6b284a4130c,identify information needs of young people,,Inquire and identify the information needs of young people and adapt services and approach towards their individual or collective needs. ,skills,"communication, collaboration and creativity","communication, collaboration and creativity","communication, collaboration and creativity",1042,identify information needs of young people,identify information needs of young people : inquire and identify the information needs of young people and adapt services and approach towards their individual or collective needs. 
69,http://data.europa.eu/esco/skill/0764b28d-04ee-4e80-bf58-b737f02a63e0,captioning software,"captioning software
caption software
captioning plugin
captioning program","The various software to create captions and subtitles in a file that is merged with the actual footage, such as Telestream and MovieCaptioners.",knowledge,information and communication technologies (icts),information and communication technologies (icts),software and applications development and analysis,1043,captioning software,"captioning software : the various software to create captions and subtitles in a file that is merged with the actual footage, such as telestream and moviecaptioners."
70,http://data.europa.eu/esco/skill/07889c08-7220-47c8-96f7-6068fbea00dc,normalise data,"prepare data
normalize data
perform data pre-processing","Reduce data to their accurate core form (normal forms) in order to achieve such results as minimisation of dependency, elimination of redundancy, increase of consistency.",skills,working with computers,accessing and analysing digital data,"managing, gathering and storing digital data",1044,normalise data,"normalise data : reduce data to their accurate core form (normal forms) in order to achieve such results as minimisation of dependency, elimination of redundancy, increase of consistency."
72,http://data.europa.eu/esco/skill/07c4dfec-ca6c-48f5-8b02-58c71b0649c5,display betting information,"display information on betting
display betting information
project betting information
portray betting information
display information on bets",Answer betting queries and put betting information on display.,skills,"communication, collaboration and creativity",presenting information,presenting general information,1045,display betting information,display betting information : answer betting queries and put betting information on display.
73,http://data.europa.eu/esco/skill/07dd856d-6141-48a7-a228-918f88494812,create prototype of user experience solutions,"create prototype of user experience solutions
UX","Design and prepare mock-ups, prototypes and flows in order to test User Experience (UX) solutions or to collect feedback from users, customers, partners or stakeholders.",skills,information skills,managing information,managing information,1046,create prototype of user experience solutions,"create prototype of user experience solutions : design and prepare mock-ups, prototypes and flows in order to test user experience (ux) solutions or to collect feedback from users, customers, partners or stakeholders."
74,http://data.europa.eu/esco/skill/07ec6866-d283-46a6-991c-e8ce0c6fc159,interpret scientific data to assess water quality,"assess water quality data
interpret scientific data to assess water quality
analysing scientific data to assess water quality
interpret water quality data
interpreting water quality data
analyse water quality data
assessing water quality data
analyse scientific data to assess water quality
analysing water quality data
scientific data interpreting to assess water quality
scientific data analysing to assess water quality",Analyse and interpret data like biological properties to know the quality of water.,skills,information skills,analysing and evaluating information and data,analysing scientific and medical data,1047,interpret scientific data to assess water quality,interpret scientific data to assess water quality : analyse and interpret data like biological properties to know the quality of water.
78,http://data.europa.eu/esco/skill/0839eea4-c57b-4c14-b19b-923fbedb5d88,perform business research,"conduct business research
do business research
perform business research
performing business research","Search and collect information relevant for the development of businesses in different fields ranging from legal, accounting, finance, up to commercial matters.",skills,information skills,"conducting studies, investigations and examinations",conducting academic or market research,1048,perform business research,"perform business research : search and collect information relevant for the development of businesses in different fields ranging from legal, accounting, finance, up to commercial matters."
79,http://data.europa.eu/esco/skill/085bfce5-70fe-43da-9499-307725e89bbc,WizIQ,WizIQ,"The computer program WizIQ is a e-learning platform for creating, administrating, arranging, reporting and delivering e-learning education courses or training programs.",knowledge,information and communication technologies (icts),information and communication technologies (icts),database and network design and administration,1049,WizIQ,"WizIQ : the computer program wiziq is a e-learning platform for creating, administrating, arranging, reporting and delivering e-learning education courses or training programs."
81,http://data.europa.eu/esco/skill/0868eef3-2213-4572-9343-74931345a7d3,administer ICT system,"operate system
administer ICT system
administer network and system
administer system","Handle components of ICT system by maintaining configuration, managing users, monitoring resource use, performing backups and installing hardware or software to comply with the set requirements.",skills,working with computers,setting up and protecting computer systems,setting up computer systems,1050,administer ICT system,"administer ICT system : handle components of ict system by maintaining configuration, managing users, monitoring resource use, performing backups and installing hardware or software to comply with the set requirements."
83,http://data.europa.eu/esco/skill/089146a5-207b-40fc-86b7-877774aa786c,provide rigging plans,"providing lifting  plans
provision of rigging plans
rigging plans provision
provision of lifting plans
provide lifting plans
lifting plan provision
providing of rigging plans
providing of lifting plans
lifting plans provision
providing rigging plans
provide rigging plans
rigging plan provision","Provide rigging and lifting plans; accept and support project supplied lifting plans. This plan includes information regarding the rigging equipment used, weight of the lift, crane capacity, atmospheric and environmental conditions, lifting capacity and floor loading capacity.",skills,management skills,developing objectives and strategies,developing operational policies and procedures,1051,provide rigging plans,"provide rigging plans : provide rigging and lifting plans; accept and support project supplied lifting plans. this plan includes information regarding the rigging equipment used, weight of the lift, crane capacity, atmospheric and environmental conditions, lifting capacity and floor loading capacity."
84,http://data.europa.eu/esco/skill/089bab26-a854-40fb-8c04-5be4f693315a,integrate strategic foundation in daily performance,"incorporate strategic foundation in daily performance
integrate strategic foundation in daily performance
integrating strategic foundation in daily performance
integrate strategic foundation in performance
implement strategic foundation in daily performance","Reflect on the strategic foundation of companies, meaning their mission, vision, and values in order to integrate this foundation in the performance of the job position.",skills,management skills,developing objectives and strategies,developing operational policies and procedures,1052,integrate strategic foundation in daily performance,"integrate strategic foundation in daily performance : reflect on the strategic foundation of companies, meaning their mission, vision, and values in order to integrate this foundation in the performance of the job position."
86,http://data.europa.eu/esco/skill/08b04e53-ed25-41a2-9f90-0b9cd939ba3d,manage research data,,Produce and analyse scientific data originating from qualitative and quantitative research methods. Store and maintain the data in research databases. Support the re-use of scientific data and be familiar with open data management principles.,skills,information skills,managing information,managing information,1053,manage research data,manage research data : produce and analyse scientific data originating from qualitative and quantitative research methods. store and maintain the data in research databases. support the re-use of scientific data and be familiar with open data management principles.
87,http://data.europa.eu/esco/skill/08cdec3b-0d81-4575-b405-168e3178a768,distribute local information materials,"distribute local information materials
circulate promotional touristic leaflets
distribute materials on local information
hand out local information brochures
distribute local informative materials","Hand out leaflets, maps and tour brochures to visitors with information and tips about local sites, attractions and events.",skills,"communication, collaboration and creativity",presenting information,presenting general information,1054,distribute local information materials,"distribute local information materials : hand out leaflets, maps and tour brochures to visitors with information and tips about local sites, attractions and events."
88,http://data.europa.eu/esco/skill/08edeccc-524f-40ff-8107-2ca973779c83,be a role model in community arts,"be a role model in community arts
be a person who is looked up to in the community arts
act as a role model in community arts
be a community arts' role model",Take responsibility for your physical and emotional wellbeing as a role model for your group. Care for the wellbeing of your participants while leading them in a dance session.,skills,management skills,leading and motivating,leading and motivating,1055,be a role model in community arts,be a role model in community arts : take responsibility for your physical and emotional wellbeing as a role model for your group. care for the wellbeing of your participants while leading them in a dance session.
90,http://data.europa.eu/esco/skill/08f0af26-2178-40d2-9267-6d50a7346555,combine business technology with user experience,"combining business technology and user experience
combine sector technology with user experience
combine industry technology with user experience
combine business technology with user experience","Analyse and exploit the points where technology, user experience, and business meet in order to create and develop new products.",skills,information skills,analysing and evaluating information and data,analysing business operations,1056,combine business technology with user experience,"combine business technology with user experience : analyse and exploit the points where technology, user experience, and business meet in order to create and develop new products."
